AccountID,Type,BillingState,BillingCountry,AccountSource,Account_Status__c,ARR__c,EmployeesRange__c,Industry__c,SalesTargetAccount__c,SalesTeam__c,SalesTerritoryAE__c,OpenOpportunities__c,NumberofSessions__c,Industry_Score__c,EmployeeRangeScore__c,Engagement_Score__c,IsABM__c,Do_No_Contact__c
0012o00002sPOuS,Standard,Z\u00dcRICH,Switzerland,HG Insights,Business,0.0,1001-5000,Logistics & Transportation,false,DACH,DACH - Logistics,0.0,1.0,75.0,50.0,0.0,false,false
0012o00002sPOuT,Standard,Hessen,Germany,HG Insights,Business,0.0,1001-5000,"Life Sciences, Pharma, & Biotech",false,DACH,DACH - Healthcare and Pharma,0.0,0.0,25.0,50.0,0.0,false,false
0012o00002h4DAj,Standard,,Germany,Marketing,Business,0.0,21-100,Retail,false,DACH,DACH - Retail,0.0,0.0,50.0,0.0,0.0,false,false
0012o00002sPSuH,Standard,HAINAUT,Belgium,HG Insights,Business,0.0,1001-5000,Manufacturing,false,EMEA W,Benelux - Manufacturing,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002h4DxL,Standard,,,,Business,0.0,1001-5000,Banking & Financial Services,true,N/A,Mediterranean,0.0,0.0,100.0,50.0,0.0,false,false
0012o00002sPOuf,Standard,Hessen,Germany,HG Insights,Business,0.0,1001-5000,"Life Sciences, Pharma, & Biotech",false,DACH,DACH - Healthcare and Pharma,0.0,0.0,25.0,50.0,0.0,false,false
0012o00002h4G2g,Standard,Texas,United States,,Business,0.0,101-1000,Software & Technology,false,NA - Corporate & LATAM,NA - South - Corporate,0.0,0.0,100.0,0.0,0.0,false,false
0012o00002h4Cny,Standard,hamburg,germany,Marketing,Business,0.0,Less than 20,Consulting & Business Services,false,DACH,DACH - Whitepatch <5K,0.0,5.0,50.0,0.0,0.0,false,false
0012o00002sPOuZ,Standard,Hessen,Germany,HG Insights,Business,0.0,1001-5000,Logistics & Transportation,false,DACH,DACH - Logistics,0.0,0.0,75.0,50.0,0.0,false,false
0012o00002sPKI1,Standard,Kentucky,United States,HG Insights,Business,0.0,1001-5000,Healthcare,false,NA - Corporate & LATAM,NA - South - Corporate,0.0,0.0,25.0,50.0,0.0,false,false
0012o00002sPSuG,Standard,,Luxembourg,HG Insights,Business,0.0,1001-5000,Consulting & Business Services,false,EMEA W,Benelux - Software & Consulting,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002h4CtE,Standard,bayern,germany,Marketing,Business,0.0,1001-5000,Consulting & Business Services,false,DACH,DACH - Whitepatch <5K,0.0,3.0,50.0,50.0,0.0,false,false
0012o00002i7Qcn,Standard,,,,Business,0.0,,,false,,,0.0,0.0,0.0,0.0,0.0,false,false
0012o00002sPSuJ,Standard,GARD,France,HG Insights,Business,0.0,1001-5000,Banking & Financial Services,false,EMEA W,France - Banking,0.0,0.0,100.0,50.0,0.0,false,false
0012o00002sPSuR,Standard,ZUID-HOLLAND,Netherlands,HG Insights,Business,0.0,1001-5000,"Life Sciences, Pharma, & Biotech",false,EMEA W,Benelux - Banking & Insurance,0.0,1.0,25.0,50.0,0.0,false,false
0012o00002sPKIC,Standard,Tennessee,United States,HG Insights,Business,0.0,1001-5000,Manufacturing,false,NA - Corporate & LATAM,NA - South - Corporate,0.0,0.0,50.0,50.0,0.0,false,false
0012o00002sPOuk,Standard,Nieder\u00f6sterreich,Austria,HG Insights,Business,0.0,5001-10.000,Manufacturing,false,DACH,DACH - Manufacturing,0.0,0.0,50.0,0.0,0.0,false,false
0012o00002h4I6d,Standard,sachsen,germany,Marketing,Business,0.0,101-1000,Software & Technology,false,DACH,DACH - Whitepatch <5K,0.0,52.0,100.0,0.0,0.0,false,false
