AccountID,Type,BillingState,BillingCountry,Account_Status__c,ARR__c,EmployeesRange__c,Industry__c,SalesTargetAccount__c,SalesTeam__c,SalesTerritoryAE__c,OpenOpportunities__c,NumberofSessions__c,Industry_Score__c,EmployeeRangeScore__c,Engagement_Score__c,IsABM__c,Do_No_Contact__c,AccountSource,label
0012o00002mrXnJ,Standard,,Guernsey,Business,109238.0,1001-5000,"Public Sector, Government, Education",False,EMEA N,UKI - Public & Non Profit,0.0,5.0,0.0,50.0,6.0,False,False,,False
0012o00002mrQQi,Standard,VICTORIA,Australia,Business,0.0,1001-5000,Software & Technology,True,APAC,RoW - APAC (Prio),0.0,27.0,100.0,50.0,3.0,False,False,Marketing,False
0012o00002i7O4M,Standard,,United Kingdom,Business,0.0,,,False,EMEA N,,0.0,0.0,0.0,0.0,3.0,False,False,,False
0012o00002mrZBE,Standard,ontario,canada,Business,0.0,21-100,Software & Technology,False,NA - Corporate & LATAM,NA - Canada - Corporate,0.0,7.0,100.0,0.0,3.0,False,False,Marketing,False
0012o00002mrd8n,Standard,LONDON,United Kingdom,Business,0.0,1001-5000,Banking & Financial Services,False,EMEA N,UKI - Banking,0.0,7.0,100.0,50.0,3.0,False,False,,False
0012o00002msmS5,Standard,bayern,germany,Business,0.0,10.000+,Manufacturing,False,DACH,DACH - Manufacturing,0.0,1.0,50.0,100.0,6.0,False,False,Marketing,False
0012o00002i7O4l,Standard,Sachsen,Germany,Business,0.0,,Consulting & Business Services,False,DACH,DACH - Whitepatch <5K,0.0,2.0,50.0,0.0,6.0,False,False,,False
0012o00002msvdd,Standard,region metro de santiago,chile,Business,0.0,21-100,"Public Sector, Government, Education",False,NA - Corporate & LATAM,RoW - LATAM,0.0,15.0,0.0,0.0,3.0,False,False,Marketing,False
0012o00002mssXK,Standard,region metro de santiago,chile,Business,0.0,21-100,Software & Technology,False,NA - Corporate & LATAM,RoW - LATAM,0.0,4.0,100.0,0.0,3.0,False,False,Marketing,False
0012o00002mswqj,Standard,,sri lanka,Business,0.0,101-1000,Software & Technology,False,APAC,RoW - APAC (Other),0.0,41.0,100.0,0.0,3.0,False,False,Marketing,False
0012o00002msysb,Standard,ile-de-france,france,Business,0.0,101-1000,Consulting & Business Services,False,EMEA W,France - Software & Consulting,0.0,13.0,50.0,0.0,3.0,False,False,Marketing,False
